frase,categoria,frase_norm,tokens,bigrams,trigrams
tengo hambre,Necesidades Basicas (Higiene y Fisiologia),tengo hambre,"['tengo', 'hambre']",['tengo hambre'],[]
quiero comer,Alimentacion (Comidas y Bebidas),quiero comer,"['quiero', 'comer']",['quiero comer'],[]
dame comida,Rutinas Diarias (Acciones y Hogar),dame comida,"['dame', 'comida']",['dame comida'],[]
es hora de almorzar,Alimentacion (Comidas y Bebidas),es hora de almorzar,"['es', 'hora', 'de', 'almorzar']","['es hora', 'hora de', 'de almorzar']","['es hora de', 'hora de almorzar']"
quiero mi desayuno,Alimentacion (Comidas y Bebidas),quiero mi desayuno,"['quiero', 'mi', 'desayuno']","['quiero mi', 'mi desayuno']",['quiero mi desayuno']
vamos a cenar,Alimentacion (Comidas y Bebidas),vamos a cenar,"['vamos', 'a', 'cenar']","['vamos a', 'a cenar']",['vamos a cenar']
tengo sed,Necesidades Basicas (Higiene y Fisiologia),tengo sed,"['tengo', 'sed']",['tengo sed'],[]
quiero agua,Alimentacion (Comidas y Bebidas),quiero agua,"['quiero', 'agua']",['quiero agua'],[]
dame jugo,Alimentacion (Comidas y Bebidas),dame jugo,"['dame', 'jugo']",['dame jugo'],[]
me gusta la manzana,Rutinas Diarias (Acciones y Hogar),me gusta la manzana,"['me', 'gusta', 'la', 'manzana']","['me gusta', 'gusta la', 'la manzana']","['me gusta la', 'gusta la manzana']"
quiero una pera,Rutinas Diarias (Acciones y Hogar),quiero una pera,"['quiero', 'una', 'pera']","['quiero una', 'una pera']",['quiero una pera']
dame platano,Rutinas Diarias (Acciones y Hogar),dame platano,"['dame', 'platano']",['dame platano'],[]
quiero galletas,Alimentacion (Comidas y Bebidas),quiero galletas,"['quiero', 'galletas']",['quiero galletas'],[]
me das un dulce,Rutinas Diarias (Acciones y Hogar),me das un dulce,"['me', 'das', 'un', 'dulce']","['me das', 'das un', 'un dulce']","['me das un', 'das un dulce']"
no quiero comer,Alimentacion (Comidas y Bebidas),no quiero comer,"['no', 'quiero', 'comer']","['no quiero', 'quiero comer']",['no quiero comer']
ya comi,Rutinas Diarias (Acciones y Hogar),ya comi,"['ya', 'comi']",['ya comi'],[]
la comida esta rica,Rutinas Diarias (Acciones y Hogar),la comida esta rica,"['la', 'comida', 'esta', 'rica']","['la comida', 'comida esta', 'esta rica']","['la comida esta', 'comida esta rica']"
quiero mas,Rutinas Diarias (Acciones y Hogar),quiero mas,"['quiero', 'mas']",['quiero mas'],[]
estoy lleno,Rutinas Diarias (Acciones y Hogar),estoy lleno,"['estoy', 'lleno']",['estoy lleno'],[]
que hay de comer,Alimentacion (Comidas y Bebidas),que hay de comer,"['que', 'hay', 'de', 'comer']","['que hay', 'hay de', 'de comer']","['que hay de', 'hay de comer']"
quiero pollo,Alimentacion (Comidas y Bebidas),quiero pollo,"['quiero', 'pollo']",['quiero pollo'],[]
me gusta la sopa,Alimentacion (Comidas y Bebidas),me gusta la sopa,"['me', 'gusta', 'la', 'sopa']","['me gusta', 'gusta la', 'la sopa']","['me gusta la', 'gusta la sopa']"
dame arroz,Alimentacion (Comidas y Bebidas),dame arroz,"['dame', 'arroz']",['dame arroz'],[]
quiero pan,Alimentacion (Comidas y Bebidas),quiero pan,"['quiero', 'pan']",['quiero pan'],[]
puedo tomar leche,Alimentacion (Comidas y Bebidas),puedo tomar leche,"['puedo', 'tomar', 'leche']","['puedo tomar', 'tomar leche']",['puedo tomar leche']
quiero yogurt,Rutinas Diarias (Acciones y Hogar),quiero yogurt,"['quiero', 'yogurt']",['quiero yogurt'],[]
dame mi biberon,Rutinas Diarias (Acciones y Hogar),dame mi biberon,"['dame', 'mi', 'biberon']","['dame mi', 'mi biberon']",['dame mi biberon']
la comida quema,Rutinas Diarias (Acciones y Hogar),la comida quema,"['la', 'comida', 'quema']","['la comida', 'comida quema']",['la comida quema']
esta caliente,Rutinas Diarias (Acciones y Hogar),esta caliente,"['esta', 'caliente']",['esta caliente'],[]
esta frio,Rutinas Diarias (Acciones y Hogar),esta frio,"['esta', 'frio']",['esta frio'],[]
quiero un helado,Rutinas Diarias (Acciones y Hogar),quiero un helado,"['quiero', 'un', 'helado']","['quiero un', 'un helado']",['quiero un helado']
vamos a la cocina,Rutinas Diarias (Acciones y Hogar),vamos a la cocina,"['vamos', 'a', 'la', 'cocina']","['vamos a', 'a la', 'la cocina']","['vamos a la', 'a la cocina']"
ayudame a comer,Alimentacion (Comidas y Bebidas),ayudame a comer,"['ayudame', 'a', 'comer']","['ayudame a', 'a comer']",['ayudame a comer']
quiero cereal,Rutinas Diarias (Acciones y Hogar),quiero cereal,"['quiero', 'cereal']",['quiero cereal'],[]
me das una naranja,Rutinas Diarias (Acciones y Hogar),me das una naranja,"['me', 'das', 'una', 'naranja']","['me das', 'das una', 'una naranja']","['me das una', 'das una naranja']"
